key,height_m,lat,lon,source
Sky Tower,292.2,24.496189,54.40881,CTBUH Skyscraper Center building 269 (architectural height)
City of Lights C1 Tower,282.1,24.49901,54.40329,CTBUH Skyscraper Center building 13026 (architectural height)
The Gate Residential Tower 1,238.0,24.49411,54.407661,CTBUH Skyscraper Center building 9184 (architectural height)
The Gate Residential Tower 2,238.0,24.493561,54.40839,CTBUH Skyscraper Center building 9185 (architectural height)
The Gate Residential Tower 3,238.0,24.493111,54.409481,CTBUH Skyscraper Center building 9186 (architectural height)
Sun Tower,237.6,24.496099,54.406952,CTBUH Skyscraper Center building 5215 (architectural height)
The Leaf,227.8,24.49921,54.394218,CTBUH Skyscraper Center building 14055 (architectural height)
Horizon Tower A,205.0,24.494049,54.403809,CTBUH Skyscraper Center building 19404 (architectural height)
Marina Blue,175.0,24.490749,54.395538,CTBUH Skyscraper Center building 14046 (architectural height)
Ocean Terrace,171.0,24.49264,54.392738,CTBUH Skyscraper Center building 13637 (architectural height)
Radiant Height,171.0,24.496333,54.404615,CTBUH Skyscraper Center building 51129 (architectural height)
Tala Tower,168.0,24.49192,54.392769,CTBUH Skyscraper Center building 16033 (architectural height)
Solaris Omega,167.0,24.49893,54.404701,CTBUH Skyscraper Center building 13634 (architectural height)
Maryah Plaza Residential Tower 1,165.2,24.497961,54.391537,CTBUH Skyscraper Center building 17501 (architectural height)
Al Khatem Tower,155.0,24.50173,54.389709,CTBUH Skyscraper Center building 8730 (architectural height)
Al Maqam Tower,155.0,24.500521,54.389542,CTBUH Skyscraper Center building 8731 (architectural height)
Burooj Views,154.0,24.4923,54.393848,CTBUH Skyscraper Center building 14245 (architectural height)
Horizon Tower B,151.0,24.4939,54.403591,CTBUH Skyscraper Center building 19405 (architectural height)
Al Maha Tower,147.0,24.492121,54.394371,CTBUH Skyscraper Center building 29469 (architectural height)
Marina Heights 1,147.0,24.49131,54.395069,CTBUH Skyscraper Center building 29497 (architectural height)
Marina Heights 2,147.0,24.49176,54.39476,CTBUH Skyscraper Center building 29498 (architectural height)
RAK Tower,147.0,24.487431,54.394958,CTBUH Skyscraper Center building 12574 (architectural height)
Four Seasons Abu Dhabi,144.0,24.503059,54.38781,CTBUH Skyscraper Center building 16528 (architectural height)
Tamouh Tower,141.0,24.48826,54.394798,CTBUH Skyscraper Center building 29462 (architectural height)
Rosewood Abu Dhabi,140.3,24.499716,54.387314,CTBUH Skyscraper Center building 13143 (architectural height)
Al Durrah Tower North,137.0,24.48974,54.394379,CTBUH Skyscraper Center building 29494 (architectural height)
Al Durrah Tower South,137.0,24.48905,54.394291,CTBUH Skyscraper Center building 29493 (architectural height)
Al Sarab Tower,131.0,24.50218,54.388962,CTBUH Skyscraper Center building 8732 (architectural height)
Al Sila Tower,131.0,24.50021,54.388748,CTBUH Skyscraper Center building 8733 (architectural height)
Radiant Boulevard,127.0,24.497085,54.404948,CTBUH Skyscraper Center building 51132 (architectural height)
Radiant Viewz,123.0,24.497637,54.404363,CTBUH Skyscraper Center building 51131 (architectural height)
Al Maryah Tower,120.0,24.4984,54.390591,CTBUH Skyscraper Center building 15269 (architectural height)
Solaris Sigma I,106.0,24.49909,54.403938,CTBUH Skyscraper Center building 13635 (architectural height)
Solaris Sigma II,106.0,24.498199,54.40509,CTBUH Skyscraper Center building 13636 (architectural height)
Radiant Bay,103.0,24.497178,54.404288,CTBUH Skyscraper Center building 51130 (architectural height)
Cleveland Clinic Abu Dhabi Hospital,99.6,24.49789,54.388538,CTBUH Skyscraper Center building 21680 (architectural height)
Mangrove Place,99.0,24.49703,54.408852,CTBUH Skyscraper Center building 29461 (architectural height)
Mismark Towers 1,99.0,24.484217,54.405113,CTBUH Skyscraper Center building 34947 (architectural height)
Mismark Towers 2,99.0,24.483435,54.405487,CTBUH Skyscraper Center building 34948 (architectural height)
The Bridges 1,96.0,24.509274,54.4077,CTBUH Skyscraper Center building 29627 (architectural height)
